room_group,avg_house_value
9010,500001
11350,500001
10810,500001
16540,500001
15990,500001
9320,500001
10630,500001
15570,500001
10720,500001
18130,500001
7670,500001
10450,500001
8270,500001
10010,500001
11150,500001
10020,500001
14560,500001
11290,500001
17590,500001
10770,500001
14030,491200
6690,491200
8590,472700
14290,472000
9730,457650.5
7550,454650.5
28260,451100
7680,443650.5
10090,433850.5
11400,423300
10950,418300
10390,411300
6770,409000
7830,401200
30410,399200
7340,396550.5
6210,395750
5070,392775.25
9540,389800
6560,389150
10050,387500
11670,385500
9790,380650
6870,379350
11020,378167
11710,375000
7500,374000
8970,374000
11250,369750.5
11340,369200
21530,368300
37940,366300
6390,366075.25
10480,365300
16410,362500
9470,361400
5520,360825.25
16760,358700
6610,358433.6666666667
16700,357600
14650,356700
13130,354700
12000,354300
12330,353100
12050,353000
7510,352100.5
8320,351700
9120,351300
6220,350700.25
18630,350700
8250,349900
17720,349100
18450,348900
5350,348666.6666666667
7020,347950
4440,347840.2
7260,347400.5
6780,346100.3333333333
8040,345450.5
10250,344500
4350,344057.4285714286
12810,343100
4730,342800
8260,341767
16920,341700
14320,341600
14680,340900
16590,340300
7490,339700
27700,339700
7470,337000
6650,334000
10690,333400
9080,331700.5
7480,330833.5
15030,330550
16040,330400
6290,329650
9940,329400
6180,329050.5
6170,328950.5
7590,328900
7380,328650.5
7980,327100
8810,326733.3333333333
8640,326650
12900,325800
3990,323523.3846153846
9430,322600.5
18120,322500
7440,322233.3333333333
5300,321512.75
25190,321300
5420,321212.625
5790,321067
17310,320900
8800,320675.25
5170,319200.25
6140,319160.2
9560,318900
4310,318713.5333333333
23870,318500
9180,318350
5250,318166.6666666667
9950,316600
18690,315600
9380,315200
9520,314900
4340,314850.1666666667
10210,314066.6666666667
9620,313700
8280,312267
7790,311900
6730,311700
9660,311450.25
5600,311400
17820,310700
11440,310600.5
4390,310533.5
5490,309743.28571428574
5010,309560.4
8710,309550
10530,309200
14940,308300
16220,308100
9580,306900
4400,304862.8125
7100,304500
5390,303233.5
5850,302867
7280,301966.6666666667
15200,301800
5140,300925
7300,300000
4470,299563.9090909091
5480,299178.78571428574
9860,296200
5260,295922.3333333333
8950,295400.5
15620,295300
9960,294850
4970,294387.625
7420,294150.5
9990,293900
6750,293625.25
7370,291200
4080,290854
4150,290600.0588235294
8840,290400
22130,289600
5940,289500
7190,289325.25
6580,289067
5990,288466.6666666667
6500,287150
12980,286500
8120,286500
13040,286400
6920,285800.3333333333
10840,285600
4450,285587.5625
6190,285460.2
7110,285000.25
4520,284818.2727272727
8880,284400
4570,284358.5
4760,283650.125
6020,283275
14890,283200
10540,283200
5590,282275.125
9200,282100
16200,281800
10920,281300
7540,281233.3333333333
16290,280800
8210,280800
5720,280540
6680,279900.2
5220,279414.4285714286
12840,279400
5440,279333.3333333333
7200,279075.25
4990,278800.22222222225
7080,278700
4850,278477.77777777775
11990,278300
10650,278200
6370,277960.2
9570,277700
3830,277611.27777777775
10460,277300
6080,277275
6480,276550.25
6160,276500.14285714284
7000,276400
11870,276300
6200,276116.6666666667
4280,275525.1666666667
4910,274950.0833333333
4420,274359.13636363635
3650,273905
7120,273800
9150,273600
14010,273500
6720,273233.3333333333
3550,272544.55555555556
15260,272400
3560,272292.96428571426
4710,272025.0833333333
9040,271650
7710,271400
4510,271363.8181818182
11850,271300
9100,270900
5470,270809.0909090909
10620,270700
6530,269842.85714285716
14920,269800
10280,269500
7970,269400.3333333333
7170,268800
6040,268075
6330,267960
8150,267950
2960,267885.4117647059
12860,267400
17530,267000
5890,266800
5110,265681.9090909091
5130,265316.75
5750,265300
19060,265200
21090,265100
4770,264572.8181818182
12130,264500
5510,264114.4285714286
6980,263750
3280,263030.8846153846
5190,262840.2
6510,262550
3910,262421.82608695654
5740,262145.7272727273
13250,262100
8680,262000
5810,261800
8390,261300
15500,261100
19000,260900
13700,260600
4950,260575.125
3950,259910.1
7730,259800
17380,259600
6430,259485.7142857143
5450,259028.7142857143
3700,258725.05
6310,258257.2857142857
12510,258100
3980,257405.66666666666
3190,257373.70588235295
3530,257316.72222222222
4610,256827.36363636365
4540,256655.55555555556
4680,256535.85714285713
5100,256250.16666666666
7410,256100
3600,256060.1
4960,256020.2
8550,255800
6600,255700.25
3000,255677.5806451613
7270,255566.66666666666
3930,255072.72727272726
6590,254500
4900,254420
4630,254377.77777777778
8850,254200
8000,254166.66666666666
3790,254129.4705882353
8920,254000
32050,253900
3770,253820.83333333334
4430,253800
4560,253671.57142857142
6100,253610.1
7180,253566.66666666666
3630,253500.08695652173
5550,253342.85714285713
3570,253204.63636363635
250,253175.1875
5040,253066.66666666666
7850,252850
3800,252813.68181818182
7360,252600
3120,252522.30555555556
17470,252200
6280,252033.33333333334
6030,251966.83333333334
3940,251742.42307692306
8010,251566.66666666666
5320,251118.18181818182
6240,250916.66666666666
4070,250694.23529411765
4320,250644.44444444444
3490,250334.58620689655
4040,250043.52173913043
10970,250000
2560,248940.83333333334
3020,248150.06666666668
6300,247828.7142857143
9140,247800
3150,247740.71875
3540,247276.38095238095
6640,247100
2800,246863.75
3620,246639.39285714287
2730,246600.0810810811
3840,246593.46666666667
4790,246066.77777777778
6900,246000
3390,245790.52380952382
15810,245600
4720,245558.41666666666
8240,245450
3260,245409.21212121213
4240,245366.8
3100,245189.37837837837
5950,245014.42857142858
14700,245000
23920,244900
8070,244450
5280,244322.22222222222
2170,243913.74242424243
6970,243900
2540,243856.1219512195
4810,243750
4360,243744.55555555556
6250,243325
4870,243300.05555555556
5080,243150
6490,243025
6700,242933.33333333334
10110,242833.66666666666
3780,242765.15
2830,242683.06382978722
6840,242380
5650,242342.85714285713
3200,242267.7741935484
4230,242227.77777777778
2490,242224.64912280702
2980,242197.81395348837
3580,242190
3350,242125.83870967742
8750,241833.33333333334
7330,241766.66666666666
4880,241500
